CompName,StartDateTime,EndDateTime,ElapsedTime,Model,TSID,TSName,OSDResults,FailureReason,SlowSite,USMTBackup,USMTRestore
PC0431,10/8/2018 11:00,10/8/2018 12:40,100.22,HP EliteBook Revolve 810 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0432,10/8/2018 11:30,10/8/2018 12:44,73.7,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0433,10/8/2018 11:38,10/8/2018 12:46,68.22,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0434,10/8/2018 11:52,10/8/2018 12:50,57.8,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0435,10/8/2018 11:06,10/8/2018 12:58,111.6,HP EliteBook x360 1020 G2,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0436,10/8/2018 12:09,10/8/2018 13:00,51.43,HP ProDesk 400 G4 SFF ,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0437,10/8/2018 11:59,10/8/2018 13:10,71.43,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0438,10/8/2018 12:00,10/8/2018 13:11,70.22,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0439,10/8/2018 11:59,10/8/2018 13:11,71.98,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0440,10/8/2018 12:01,10/8/2018 13:12,70.62,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0441,10/8/2018 11:58,10/8/2018 13:17,79.42,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0442,10/8/2018 12:09,10/8/2018 13:18,68.75,HP EliteBook Folio 1040 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,TRUE,TRUE
PC0443,10/8/2018 11:58,10/8/2018 13:22,83.97,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0444,10/8/2018 12:29,10/8/2018 13:27,58.48,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,TRUE,TRUE
PC0445,10/8/2018 12:04,10/8/2018 13:28,83.93,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0446,10/8/2018 12:02,10/8/2018 13:29,87.67,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0447,10/8/2018 11:59,10/8/2018 13:30,90.47,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0448,10/8/2018 12:07,10/8/2018 13:30,82.88,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0449,10/8/2018 12:02,10/8/2018 13:31,89.17,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0450,10/8/2018 12:27,10/8/2018 13:35,67.88,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,TRUE
PC0451,10/8/2018 12:34,10/8/2018 13:39,65.25,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0452,10/8/2018 12:08,10/8/2018 13:45,96.8,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,TRUE,TRUE
PC0453,10/8/2018 12:40,10/8/2018 13:48,67.85,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0454,10/8/2018 12:33,10/8/2018 13:51,78.15,HP EliteBook 840 G5,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
PC0455,10/8/2018 12:48,10/8/2018 14:00,71.93,VMware Virtual Platform,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Move Computer to Blocked OU (Staging). ,FALSE,FALSE,FALSE
PC0456,10/8/2018 12:55,10/8/2018 14:09,73.3,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
